ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000198,.jpg,牯岭街少年杀人事件,牯嶺街少年殺人事件,A Brighter Summer Day,杨德昌 Edward Yang   ,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991 , 台湾 , 剧情 犯罪,8.8,128382人
000199,.jpg,撞车,Crash,冲击效应  /  冲撞,保罗·哈吉斯 Paul Haggis   ,桑德拉·布洛克 Sandra Bullock / ...,2004 , 美国 德国 , 犯罪 剧情,8.6,198763人
000200,.jpg,黑客帝国3：矩阵革命,The Matrix Revolutions,骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,Andy Wachowski / Larry Wachowski   ,Keanu Reeves / Laurence F...,2003 , 美国 澳大利亚 , 动作 科幻,8.6,188896人
000201,.jpg,惊魂记,Psycho,精神病患者  /  触目惊心,Alfred Hitchcock   ,Janet Leigh / Anthony Perkins / Vera Miles,1960 , 美国 , 悬疑 惊悚 恐怖,8.9,102302人
000202,.jpg,青蛇,,Green Snake,徐克 Hark Tsui   ,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993 , 香港 , 剧情 奇幻 古装,8.5,265583人
000203,.jpg,梦之安魂曲,Requiem for a Dream,噩梦挽歌(台)  /  迷上瘾(港),达伦·阿伦诺夫斯基 Darren Aronofsky   ,艾伦·伯斯汀 Ellen Bur...,2000 , 美国 , 剧情,8.7,129619人
000204,.jpg,海街日记,海街diary,海街女孩日记(港)  /  Kamakura Diary,是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015 , 日本 , 剧情 家庭,8.7,172443人
000205,.jpg,小萝莉的猴神大叔,Bajrangi Bhaijaan,娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台),卡比尔·汗 Kabir Khan   ,萨尔曼·汗 Salman Khan / 哈莎莉·马...,2015 , 印度 , 剧情 喜剧 动作,8.5,214589人
000206,.jpg,再次出发之纽约遇见你,Begin Again,再次出发  /  歌曲改变人生,约翰·卡尼 John Carney   ,凯拉·奈特莉 Keira Knightley / 马克...,2013 , 美国 , 喜剧 爱情 音乐,8.5,209281人
000207,.jpg,新龙门客栈,新龍門客棧,New Dragon Gate Inn,李惠民 Raymond Lee   ,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992 , 香港 中国大陆 , 剧情 动作 武侠 古装,8.5,222035人
000208,.jpg,步履不停,歩いても 歩いても,横山家之味(港)  /  步伐不停,是枝裕和 Hirokazu Koreeda   ,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008 , 日本 , 剧情 家庭,8.8,110452人
000209,.jpg,源代码,Source Code,启动原始码(台)  /  危机解密(港),邓肯·琼斯 Duncan Jones   ,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011 , 美国 加拿大 , 科幻 悬疑 惊悚,8.4,465689人
000210,.jpg,终结者2：审判日,Terminator 2: Judgment Day,终结者2  /  终结者2：末日审判,詹姆斯·卡梅隆 James Cameron   ,阿诺·施瓦辛格 Arnold Schwarz...,1991 , 美国 法国 , 动作 科幻,8.6,167932人
